time,issue_id,event_id,type,author,action,url
2026-01-05 14:46:01+00:00,96,21855690768,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/96
2026-01-05 14:46:01+00:00,96,21855690813,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/96
2026-01-05 14:46:01+00:00,96,21855690858,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/ospo-alliance/my-ggi-board/issues/96
2026-01-05 14:45:58+00:00,95,21855689977,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/95
2026-01-05 14:45:58+00:00,95,21855690026,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/95
2026-01-05 14:45:58+00:00,95,21855690070,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/ospo-alliance/my-ggi-board/issues/95
2026-01-05 14:45:55+00:00,94,21855689120,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/94
2026-01-05 14:45:56+00:00,94,21855689184,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/94
2026-01-05 14:45:56+00:00,94,21855689232,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/94
2026-01-05 14:45:56+00:00,94,21855689273,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/ospo-alliance/my-ggi-board/issues/94
2026-01-05 14:45:53+00:00,93,21855688560,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/93
2026-01-05 14:45:54+00:00,93,21855688623,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/93
2026-01-05 14:45:54+00:00,93,21855688686,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/ospo-alliance/my-ggi-board/issues/93
2026-01-05 14:45:51+00:00,92,21855687804,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/92
2026-01-05 14:45:52+00:00,92,21855687853,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/92
2026-01-05 14:45:52+00:00,92,21855687913,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/92
2026-01-05 14:45:52+00:00,92,21855687980,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/ospo-alliance/my-ggi-board/issues/92
2026-01-05 14:45:49+00:00,91,21855686932,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/91
2026-01-05 14:45:49+00:00,91,21855686979,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/91
2026-01-05 14:45:49+00:00,91,21855687032,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/91
2026-01-05 14:45:49+00:00,91,21855687077,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board/issues/91
2026-01-05 14:45:47+00:00,90,21855686327,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/90
2026-01-05 14:45:47+00:00,90,21855686376,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/90
2026-01-05 14:45:47+00:00,90,21855686413,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board/issues/90
2026-01-05 14:45:43+00:00,89,21855685302,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/89
2026-01-05 14:45:43+00:00,89,21855685352,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/89
2026-01-05 14:45:44+00:00,89,21855685405,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/89
2026-01-05 14:45:44+00:00,89,21855685482,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board/issues/89
2026-01-05 14:45:41+00:00,88,21855684651,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/88
2026-01-05 14:45:41+00:00,88,21855684695,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/88
2026-01-05 14:45:41+00:00,88,21855684751,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/88
2026-01-05 14:45:42+00:00,88,21855684809,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board/issues/88
2026-01-05 14:45:39+00:00,87,21855684037,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/87
2026-01-05 14:45:39+00:00,87,21855684091,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/87
2026-01-05 14:45:39+00:00,87,21855684155,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/87
2026-01-05 14:45:40+00:00,87,21855684215,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board/issues/87
2026-01-05 14:45:37+00:00,86,21855683319,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/86
2026-01-05 14:45:37+00:00,86,21855683377,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/86
2026-01-05 14:45:37+00:00,86,21855683415,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/86
2026-01-05 14:45:37+00:00,86,21855683483,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/86
